assembly_id	serviceType	category	niche_name	base_fee	description	active	override_markup_pct	risk_factor	travel_miles_default	quote_class	baseline_labor_hours	blended_labor_hours	risk_class	dynamic_risk_multiplier	travel_zone	risk_mult	drive_time_hours
A001	residential	Lighting	Recessed (Can) Lighting	0	Install recessed can or retrofit LED lighting	TRUE			10	INSTANT	1.55	1.55	LOW	1.15	Local	1.05	0.25
A002	residential	Lighting	Under-Cabinet Lighting	0	Install LED under-cabinet strip or puck lights	TRUE			10	INSTANT	1.075	1.075	LOW	1.15	Local	1.05	0.25
A003	residential	Lighting	Chandelier & Fixture Installation	0	Install or replace hanging chandelier or pendant	TRUE			10	INSTANT	1.03	1.03	LOW	1.15	Local	1.05	0.25
A004	residential	Lighting	Ceiling Fan Installation	0	Install new or replacement ceiling fan	TRUE			10	INSTANT	1.005	1.005	LOW	1.15	Local	1.05	0.25
A005	residential	Lighting	Outdoor & Landscape Lighting	0	Install or repair exterior or landscape lighting	TRUE			10	INSTANT	0.845	0.845	LOW	1.15	Local	1.05	0.25
A006	residential	Lighting	Motion Sensor & Security Lighting	0	Install floodlight or motion-sensor security light	TRUE			10	INSTANT	0.88	0.88	LOW	1.15	Local	1.05	0.25
A007	residential	Lighting	LED Lighting Upgrades (Retrofits)	0	Upgrade existing fixtures to LED for energy efficiency	TRUE			10	INSTANT	0.855	0.855	LOW	1.15	Local	1.05	0.25
A008	residential	Lighting	Dimmer Switch Installation	0	Install dimmer switch for existing lighting circuit	TRUE			10	INSTANT	0.685	0.685	LOW	1.15	Local	1.05	0.25
A009	residential	Lighting	Light Fixture Repair	0	Diagnose and repair existing lighting fixture	TRUE			10	INSTANT	0.48	0.48	LOW	1.15	Local	1.05	0.25
A010	residential	Lighting	Troubleshooting (Flickering lights	0	Diagnose circuit or fixture issues causing flicker or outage	TRUE			10	INSTANT	0.575	0.575	LOW	1.15	Local	1.05	0.25
A011	residential	Power and Wiring	New Outlet Installation	0	Install new outlet with proper grounding and GFCI if required	TRUE			10	INSTANT	0.78	0.78	LOW	1.15	Local	1.05	0.25
